epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.73,1.93113,2.62643,1.71084,0.20589,0.48793,0.22437,0.09407,1.91108,4.49308,1.51815,0.00044299,0.00044299,0.00044299
2,698.529,1.79841,2.13334,1.52264,0.25876,0.46463,0.24102,0.1126,1.74514,6.0264,1.42067,0.000882445,0.000882445,0.000882445
3,1039.81,1.7097,2.04408,1.49288,0.22658,0.4681,0.22866,0.10204,1.76826,3.36496,1.49674,0.00130379,0.00130379,0.00130379
4,1381.67,1.83586,2.06805,1.63377,0.26839,0.55548,0.30918,0.14103,1.81659,3.27583,1.61828,0.00134412,0.00134412,0.00134412
5,1725.61,1.78625,1.90102,1.59308,0.25221,0.55978,0.27459,0.15074,1.64408,2.92604,1.44855,0.00131582,0.00131582,0.00131582
6,2064.05,1.78945,1.88424,1.57734,0.30178,0.4996,0.33585,0.15839,1.77926,1.9286,1.55795,0.00128753,0.00128753,0.00128753
7,2402.51,1.76258,1.84459,1.59741,0.36068,0.41396,0.35373,0.1775,1.68699,1.80598,1.51886,0.00125923,0.00125923,0.00125923
8,2744.63,1.72382,1.76542,1.56871,0.35978,0.47318,0.40412,0.18593,1.82036,1.68109,1.55075,0.00123094,0.00123094,0.00123094
9,3085.69,1.79222,1.67037,1.59301,0.44699,0.53311,0.44598,0.21898,1.69493,1.73879,1.48223,0.00120265,0.00120265,0.00120265
10,3424.95,1.73928,1.74029,1.55383,0.48598,0.65154,0.51604,0.26669,1.73236,1.6996,1.46807,0.00117435,0.00117435,0.00117435
11,3766.8,1.71003,1.6488,1.53336,0.41824,0.5944,0.43028,0.20481,1.76579,1.65184,1.49619,0.00114606,0.00114606,0.00114606
12,4100.4,1.72271,1.68362,1.56254,0.44226,0.51257,0.45637,0.21079,1.864,2.08563,1.53579,0.00111776,0.00111776,0.00111776
13,4432.58,1.71578,1.59414,1.54522,0.42248,0.59564,0.48524,0.26989,1.57803,1.57513,1.38841,0.00108947,0.00108947,0.00108947
14,4767.03,1.70294,1.62525,1.53046,0.41014,0.51908,0.42417,0.22232,1.65429,1.67884,1.4198,0.00106118,0.00106118,0.00106118
15,5095.6,1.66393,1.54695,1.50293,0.46889,0.59266,0.49906,0.23912,1.76177,1.47963,1.46697,0.00103288,0.00103288,0.00103288
16,5424.29,1.71574,1.60804,1.53752,0.48249,0.60957,0.51086,0.2566,1.72602,1.4524,1.46323,0.00100459,0.00100459,0.00100459
17,5752.56,1.67988,1.59928,1.53997,0.53986,0.59005,0.53563,0.27047,1.73159,1.32089,1.46781,0.000976293,0.000976293,0.000976293
18,6083.19,1.6559,1.55202,1.51677,0.53664,0.62739,0.57187,0.30505,1.68058,1.32893,1.43633,0.000947999,0.000947999,0.000947999
19,6416.88,1.64512,1.5115,1.48942,0.50208,0.60545,0.52628,0.25455,1.82486,1.85045,1.50274,0.000919704,0.000919704,0.000919704
20,6753.05,1.62583,1.53472,1.51509,0.54885,0.64407,0.60358,0.30006,1.78738,1.40127,1.48697,0.00089141,0.00089141,0.00089141
21,7093.33,1.64989,1.46846,1.47165,0.6407,0.66565,0.64376,0.3443,1.68004,1.31269,1.40208,0.000863116,0.000863116,0.000863116
22,7433.78,1.66671,1.52158,1.50944,0.56452,0.6973,0.66233,0.31091,1.86424,1.34277,1.48936,0.000834822,0.000834822,0.000834822
23,7767.05,1.69348,1.48566,1.4906,0.56564,0.60799,0.61153,0.27443,1.86625,1.33024,1.49122,0.000806528,0.000806528,0.000806528
24,8098.86,1.6115,1.42152,1.45995,0.63354,0.63835,0.66786,0.32372,1.84347,1.2078,1.46695,0.000778233,0.000778233,0.000778233
25,8427.61,1.60064,1.45561,1.444,0.62343,0.54048,0.60144,0.32221,1.69045,1.29141,1.40821,0.000749939,0.000749939,0.000749939
26,8761.01,1.62369,1.53007,1.46966,0.64594,0.56652,0.59139,0.31618,1.64395,1.53822,1.40003,0.000721645,0.000721645,0.000721645
27,9092.15,1.61953,1.45564,1.43371,0.72683,0.63815,0.69784,0.38941,1.62493,1.27358,1.37597,0.000693351,0.000693351,0.000693351
